id,title,day,month,year,IMDB_url,unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,OMDb_imdbRating,OMDb_Year,OMDb_Genre,OMDb_Rated,OMDb_Runtime,OMDb_Plot,OMDb_Ratings,OMDb_BoxOffice,OMDb_Metascore,OMDb_imdbVotes,OMDb_Released,OMDb_Poster,OMDb_Rating
158,Weekend at Bernie's ,1,1,1989,http://us.imdb.com/M/title/exact?Weekend%20at%20Bernie's%20(1989),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1989,"Adventure, Comedy, Crime",PG-13,97 min,"Two idiots try to pretend that their murdered employer is really alive, leading the hitman to attempt to track him down to finish him off.","[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '32/100'}]","$30,218,387",32,"64,602",05 Jul 1989,https://m.media-amazon.com/images/M/MV5BMzM1NDkxOWQtNTVkOC00YjA5LTk3ZjQtZWM5OGE1ZjMxZTJlXkEyXkFqcGc@._V1_SX300.jpg,6.4
159,Basic Instinct ,1,1,1992,http://us.imdb.com/M/title/exact?Basic%20Instinct%20(1992),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,1992,"Drama, Mystery, Thriller",R,127 min,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '43/100'}]","$117,727,224",43,"226,058",20 Mar 1992,https://m.media-amazon.com/images/M/MV5BZWYwYmQzYTctMjg5Ni00NWZkLWI5NzItZGFjMDM2NDkyNGZlXkEyXkFqcGc@._V1_SX300.jpg,7.1
160,Glengarry Glen Ross ,1,1,1992,http://us.imdb.com/M/title/exact?Glengarry%20Glen%20Ross%20(1992),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1992,"Crime, Drama, Mystery",R,100 min,An examination of the machinations behind the scenes at a real estate office.,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","$10,725,228",82,"119,297",02 Oct 1992,https://m.media-amazon.com/images/M/MV5BM2Q5NDA1ODctNmM4Yy00Yjk4LTg2ZTUtZTJjYzYyMjA2MTdmXkEyXkFqcGc@._V1_SX300.jpg,7.7
161,Top Gun ,1,1,1986,http://us.imdb.com/M/title/exact?Top%20Gun%20(1986),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1986,"Action, Drama",PG,109 min,"The Top Gun Naval Fighter Weapons School is where the best of the best train to refine their elite flying skills. When hotshot fighter pilot Maverick is sent to the school, his reckless attitude and cocky demeanor put him at odds ...","[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}, {'Source': 'Metacritic', 'Value': '50/100'}]","$180,258,178",50,"518,456",16 May 1986,https://m.media-amazon.com/images/M/MV5BZmVjNzQ3MjYtYTZiNC00Y2YzLWExZTEtMTM2ZDllNDI0MzgyXkEyXkFqcGc@._V1_SX300.jpg,6.9
162,On Golden Pond ,1,1,1981,http://us.imdb.com/M/title/exact?On%20Golden%20Pond%20(1981),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1981,Drama,PG,109 min,"Curmudgeon Norman is estranged from his daughter Chelsea. Nevertheless, at Golden Pond he and his wife agree to look after Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.","[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '68/100'}]","$119,285,432",68,"35,845",12 Feb 1982,https://m.media-amazon.com/images/M/MV5BZmI3OGQ0YjQtZjNkYi00NmEzLWE5NjMtMTdkYjA4YTdiYzBiXkEyXkFqcGc@._V1_SX300.jpg,7.6
163,The Return of the Pink Panther,1,1,1974,"http://us.imdb.com/M/title/exact?Return%20of%20the%20Pink%20Panther,%20The%20(1974)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1975,"Comedy, Crime, Mystery",G,113 min,"Inspector Jacques Clouseau is put on the case when the Pink Panther diamond is stolen, with the Phantom's trademark glove the only clue.","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '61/100'}]","$41,833,347",61,"30,393",21 May 1975,https://m.media-amazon.com/images/M/MV5BZTFkNDljYjgtZmQ3NS00MDkxLTk3OGItNzZlZTgxZTAzN2JlXkEyXkFqcGc@._V1_SX300.jpg,7.0
164,The Abyss,1,1,1989,"http://us.imdb.com/M/title/exact?Abyss,%20The%20(1989)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,1989,"Adventure, Drama, Mystery",PG-13,140 min,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '62/100'}]","$54,981,151",62,"198,597",09 Aug 1989,https://m.media-amazon.com/images/M/MV5BMGRkNzJlNjgtZmUwYS00Y2U3LTljZDctMTQxYWIxOWVjMzNjXkEyXkFqcGc@._V1_SX300.jpg,7.5
165,Jean de Florette ,1,1,1986,http://us.imdb.com/M/title/exact?Jean%20de%20Florette%20(1986),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1986,"Comedy, Drama",PG,120 min,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]","$4,940,939",N/A,"28,026",28 Aug 1987,https://m.media-amazon.com/images/M/MV5BZjliZjBkNTEtODcyOS00ZGFlLWFmMTAtMTBmOTJkNmQ4MDgwXkEyXkFqcGc@._V1_SX300.jpg,8.1
166,Manon of the Spring ,1,1,1986,http://us.imdb.com/M/title/exact?Manon%20des%20sources%20(1986),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1986,Drama,PG,113 min,A beautiful but shy shepherdess plots vengeance on the men whose greedy conspiracy to acquire her father's land caused his death years earlier.,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}]","$3,940,542",N/A,"24,487",04 Dec 1987,https://m.media-amazon.com/images/M/MV5BYTQwZWUyNTgtYTU5My00YjdiLTg5NGQtN2JhMjE4MzY4NjAzXkEyXkFqcGc@._V1_SX300.jpg,8.0
167,Private Benjamin ,1,1,1980,http://us.imdb.com/M/title/exact?Private%20Benjamin%20(1980),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1980,"Comedy, War",R,109 min,A sheltered young high-society woman joins the United States Army on a whim and finds herself in a trickier situation than she ever expected.,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '59/100'}]","$69,847,348",59,"29,190",10 Oct 1980,https://m.media-amazon.com/images/M/MV5BMjIyNjkxMjUyMF5BMl5BanBnXkFtZTgwMzU0MjEyMDE@._V1_SX300.jpg,6.2
168,Monty Python and the Holy Grail ,1,1,1974,http://us.imdb.com/M/title/exact?Monty%20Python%20and%20the%20Holy%20Grail%20(1974),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1975,"Adventure, Comedy, Fantasy",PG,91 min,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '91/100'}]","$2,562,392",91,"581,333",27 Jun 1975,https://m.media-amazon.com/images/M/MV5BYWY4YmUzZmUtMzQ0ZS00N2Y2LWJlODQtN2IwMDc1MWQwMmU3XkEyXkFqcGc@._V1_SX300.jpg,8.2
169,The Wrong Trousers,1,1,1993,"http://us.imdb.com/M/title/exact?Wrong%20Trousers,%20The%20(1993)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1993,"Animation, Short, Comedy",TV-PG,29 min,"Gromit butts heads with a mysterious penguin lodger, who hatches a sinister scheme involving the ex-NASA Techno Trousers that have been modified by Wallace for walkies.","[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,N/A,"58,585",17 Dec 1993,https://m.media-amazon.com/images/M/MV5BZGI0ZjU1ZmUtZmRlZC00Yjg3LWI1MjktM2YwYmU1NGNiYzU0XkEyXkFqcGc@._V1_SX300.jpg,8.3
170,Cinema Paradiso ,1,1,1988,http://us.imdb.com/M/title/exact?Nuovo%20cinema%20Paradiso%20(1988),0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,1988,"Drama, Romance",PG,174 min,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.","[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '80/100'}]","$12,397,210",80,"294,478",23 Feb 1990,https://m.media-amazon.com/images/M/MV5BMTljNzc4YWEtYTZlMS00ODMyLWIwMTAtNWQxY2VkMDEwYTk5XkEyXkFqcGc@._V1_SX300.jpg,8.5
171,Delicatessen ,1,1,1991,http://us.imdb.com/M/title/exact?Delicatessen%20(1991),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,1991,"Comedy, Crime",R,99 min,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '66/100'}]","$1,803,257",66,"91,435",03 Apr 1992,https://m.media-amazon.com/images/M/MV5BMGM3ZjE4ZjMtOGIxNi00ODc3LWI2OGQtY2E5MDlkMjAwZWZjXkEyXkFqcGc@._V1_SX300.jpg,7.5
172,The Empire Strikes Back,1,1,1980,"http://us.imdb.com/M/title/exact?Empire%20Strikes%20Back,%20The%20(1980)",0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,,1980,"Action, Adventure, Fantasy",PG,124 min,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.","[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","$292,753,960",82,"1,416,078",18 Jun 1980,https://m.media-amazon.com/images/M/MV5BMTkxNGFlNDktZmJkNC00MDdhLTg0MTEtZjZiYWI3MGE5NWIwXkEyXkFqcGc@._V1_SX300.jpg,8.7
173,The Princess Bride,1,1,1987,"http://us.imdb.com/M/title/exact?Princess%20Bride,%20The%20(1987)",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,1987,"Adventure, Comedy, Family",PG,98 min,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]","$30,857,814",78,"460,142",09 Oct 1987,https://m.media-amazon.com/images/M/MV5BMjFiOTEyNGMtN2E4MC00ZjZlLTk3ZDQtNTU1ZGNiZTA1MzJlXkEyXkFqcGc@._V1_SX300.jpg,8.0
174,Raiders of the Lost Ark ,1,1,1981,http://us.imdb.com/M/title/exact?Raiders%20of%20the%20Lost%20Ark%20(1981),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1981,"Action, Adventure",PG,115 min,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.","[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '86/100'}]","$248,159,971",86,"1,061,701",12 Jun 1981,https://m.media-amazon.com/images/M/MV5BOGNhMjg2ZjgtYzk4Ni00MTViLTg1MmUtYzM2MDZiYjZlMmU3XkEyXkFqcGc@._V1_SX300.jpg,8.4
175,Brazil ,1,1,1985,http://us.imdb.com/M/title/exact?Brazil%20(1985),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1985,"Drama, Sci-Fi, Thriller",R,132 min,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","$9,929,135",84,"214,632",18 Dec 1985,https://m.media-amazon.com/images/M/MV5BNjI1MTAzNmYtYzQ3Zi00ZWE0LWJiZmQtY2UwZWU3ZTE4OGQ3XkEyXkFqcGc@._V1_SX300.jpg,7.8
176,Aliens ,1,1,1986,http://us.imdb.com/M/title/exact?Aliens%20(1986),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,1986,"Action, Adventure, Sci-Fi",R,137 min,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","$85,160,248",84,"795,745",18 Jul 1986,https://m.media-amazon.com/images/M/MV5BZjIyNGJhYzYtN2I1My00OTVhLWEyMzItZTVjNDMzOTVkYWViXkEyXkFqcGc@._V1_SX300.jpg,8.4
177,"Good, The Bad and The Ugly, The ",1,1,1966,"http://us.imdb.com/M/title/exact?Buono,%20il%20brutto,%20il%20cattivo,%20Il%20(1966)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
178,12 Angry Men ,1,1,1957,http://us.imdb.com/M/title/exact?12%20Angry%20Men%20(1957),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1957,"Crime, Drama",Approved,96 min,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",N/A,97,"899,022",10 Apr 1957,https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_SX300.jpg,9.0
179,A Clockwork Orange,1,1,1971,"http://us.imdb.com/M/title/exact?Clockwork%20Orange,%20A%20(1971)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1971,"Crime, Sci-Fi",R,136 min,Alex DeLarge and his droogs barbarize a decaying near-future.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '77/100'}]","$26,617,553",77,"897,715",02 Feb 1972,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX300.jpg,8.2
180,Apocalypse Now ,1,1,1979,http://us.imdb.com/M/title/exact?Apocalypse%20Now%20(1979),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,1979,"Drama, Mystery, War",R,147 min,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '94/100'}]","$96,042,913",94,"730,443",15 Aug 1979,https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_SX300.jpg,8.4
181,Return of the Jedi ,14,3,1997,http://us.imdb.com/M/title/exact?Return%20of%20the%20Jedi%20(1983),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,,1983,"Short, Action, Drama, Sci-Fi",N/A,9 min,Deleted scenes from Star Wars: Episode VI - Return of the Jedi.,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",N/A,N/A,403,16 Sep 2011,https://m.media-amazon.com/images/M/MV5BOWZlMjFiYzgtMTUzNC00Y2IzLTk1NTMtZmNhMTczNTk0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,8.3
182,GoodFellas ,1,1,1990,http://us.imdb.com/M/title/exact?GoodFellas%20(1990),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1990,"Biography, Crime, Drama",R,145 min,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '92/100'}]","$46,909,721",92,"1,300,902",21 Sep 1990,https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_SX300.jpg,8.7
183,Alien ,1,1,1979,http://us.imdb.com/M/title/exact?Alien%20(1979),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,,1979,"Horror, Sci-Fi",R,117 min,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.","[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '89/100'}]","$84,206,106",89,"996,440",22 Jun 1979,https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_SX300.jpg,8.5
184,Army of Darkness ,1,1,1993,http://us.imdb.com/M/title/exact?Army%20of%20Darkness%20(1993),0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,1992,"Comedy, Horror",R,81 min,"When Ash Williams is accidentally transported to 1300 A.D., he must retrieve the Necronomicon and battle an army of the dead in order to return home.","[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '59/100'}]","$11,502,976",59,"200,147",19 Feb 1993,https://m.media-amazon.com/images/M/MV5BYzU4ZDFmNzEtNmE2Ny00OTA1LWEyMmMtZjFiOWM0MGM3YTQ1XkEyXkFqcGc@._V1_SX300.jpg,7.4
185,Psycho ,1,1,1960,http://us.imdb.com/M/title/exact?Psycho%20(1960),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,1960,"Horror, Mystery, Thriller",R,109 min,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '97/100'}]","$32,000,000",97,"741,743",08 Sep 1960,https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_SX300.jpg,8.5
186,The Blues Brothers,1,1,1980,"http://us.imdb.com/M/title/exact?Blues%20Brothers,%20The%20(1980)",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1980,"Adventure, Comedy, Crime",R,133 min,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&amp;B band and save the Catholic home where the two were raised, outrunning the police as they tear through ...","[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '60/100'}]","$57,229,890",60,"219,039",20 Jun 1980,https://m.media-amazon.com/images/M/MV5BNzI2ZDAyNjYtNzgwOS00MTRlLWE3MjUtMTI3M2VmYzQ1ZWJmXkEyXkFqcGc@._V1_SX300.jpg,7.9
187,The Godfather: Part II,1,1,1974,"http://us.imdb.com/M/title/exact?Godfather:%20Part%20II,%20The%20(1974)",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1974,"Crime, Drama",R,202 min,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '90/100'}]","$47,834,595",90,"1,405,378",18 Dec 1974,https://m.media-amazon.com/images/M/MV5BNzc1OWY5MjktZDllMi00ZDEzLWEwMGItYjk1YmRhYjBjNTVlXkEyXkFqcGc@._V1_SX300.jpg,9.0
188,Full Metal Jacket ,1,1,1987,http://us.imdb.com/M/title/exact?Full%20Metal%20Jacket%20(1987),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,1987,"Drama, War",R,116 min,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '78/100'}]","$46,357,676",78,"808,016",10 Jul 1987,https://m.media-amazon.com/images/M/MV5BYWUzNzZkNzUtNDdiYy00Nzk5LTgxMmItNTk0MjRjNjdjNDA0XkEyXkFqcGc@._V1_SX300.jpg,8.2
189,A Grand Day Out,1,1,1992,"http://us.imdb.com/M/title/exact?Grand%20Day%20Out,%20A%20(1992)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2017,"Animation, Short",N/A,10 min,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,N/A,24,N/A,https://m.media-amazon.com/images/M/MV5BNmFmOTY3OGUtMmFjMC00YzM1LTljODctZDdlMjQ0ZWVkMTYxXkEyXkFqcGdeQXVyODY5MTQ0Nzk@._V1_SX300.jpg,8.1
190,Henry V ,1,1,1989,http://us.imdb.com/M/title/exact?Henry%20V%20(1989),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,1989,"Biography, Drama, History",PG-13,137 min,"In the midst of the Hundred Years War, the young King Henry V of England embarks on the conquest of France in 1415.","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '83/100'}]","$10,161,099",83,"32,184",08 Nov 1989,https://m.media-amazon.com/images/M/MV5BNzNiMWM3NGEtZWMxYi00NzM0LWE2ODItMzZlNTZmYTJhZWY1XkEyXkFqcGc@._V1_SX300.jpg,7.5
191,Amadeus ,1,1,1984,http://us.imdb.com/M/title/exact?Amadeus%20(1984),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,1984,"Biography, Drama, Music",PG,160 min,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.","[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '87/100'}]","$51,973,029",87,"441,410",19 Sep 1984,https://m.media-amazon.com/images/M/MV5BMzc2MjM0NTMtOGY4NC00NzY1LWE2ODUtZjMzY2RhNGNkZDAyXkEyXkFqcGc@._V1_SX300.jpg,8.4
192,Raging Bull ,1,1,1980,http://us.imdb.com/M/title/exact?Raging%20Bull%20(1980),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1980,"Biography, Drama, Sport",R,129 min,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '90/100'}]","$23,383,987",90,"390,616",19 Dec 1980,https://m.media-amazon.com/images/M/MV5BMjlkYmYyZWQtNTZkOS00ZjA0LWEwNWUtNzE2ZGNiYjg0MjA2XkEyXkFqcGc@._V1_SX300.jpg,8.1
193,The Right Stuff,1,1,1983,"http://us.imdb.com/M/title/exact?Right%20Stuff,%20The%20(1983)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1983,"Adventure, Biography, Drama",PG,193 min,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers pr...","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '91/100'}]","$21,192,102",91,"66,457",17 Feb 1984,https://m.media-amazon.com/images/M/MV5BZmNiMWIxZDEtYWE0Zi00YzU5LTk4NzctNmE2YThiMGUzYzlkXkEyXkFqcGc@._V1_SX300.jpg,7.8
194,The Sting,1,1,1973,"http://us.imdb.com/M/title/exact?Sting,%20The%20(1973)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1973,"Comedy, Crime, Drama",PG,129 min,Two grifters team up to pull off the ultimate con.,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '83/100'}]","$156,000,000",83,"285,618",25 Dec 1973,https://m.media-amazon.com/images/M/MV5BZGI4OTk4MDMtYmQ1Ni00YTUzLTkyYTktZGUwMjMyN2M4NjQ5XkEyXkFqcGc@._V1_SX300.jpg,8.3
195,The Terminator,1,1,1984,"http://us.imdb.com/M/title/exact?Terminator,%20The%20(1984)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,1984,"Action, Adventure, Sci-Fi",R,107 min,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '84/100'}]","$38,371,200",84,"946,171",26 Oct 1984,https://m.media-amazon.com/images/M/MV5BZmE0YzIxM2QtMGNlMi00MjRmLWE3MWMtOWQzMGVjMmU0YTFmXkEyXkFqcGc@._V1_SX300.jpg,8.1
